Type,Buy Amount,Buy Cur.,Sell Amount,Sell Cur.,Fee Amount (optional),Fee Cur. (optional),Exchange (optional),Trade Group (optional),Comment (optional),Date,Tx-ID
"Trade","0.00009729","BTC-DFI","0.00000163000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-23T17:44:59", "1BTC-DFI20220123174459"
"Trade","0.00009729","BTC-DFI","0.02324109000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-23T17:44:59", "1BTC-DFI20220123174459"
"Mining","0.00000018000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2022-01-22T00:01:00", "BTC20220122000100_Commission"
"Mining","1.70241495000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2022-01-22T00:01:00", "DFI20220122000100_Rewards"
"Mining","0.00794247000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2022-01-22T00:01:00", "DFI20220122000100_Commission"
"Trade","0.000040055","BTC-DFI","0.00944364000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-21T15:39:19", "1BTC-DFI20220121153919"
"Trade","0.000040055","BTC-DFI","0.00000068000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-21T15:39:19", "1BTC-DFI20220121153919"
"Mining","0.00000098000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2022-01-21T00:01:00", "BTC20220121000100_Commission"
"Mining","2.21678924000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2022-01-21T00:01:00", "DFI20220121000100_Rewards"
"Mining","0.03587626000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2022-01-21T00:01:00", "DFI20220121000100_Commission"
"Trade","0.000040145","BTC-DFI","0.00000068000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-20T15:35:08", "1BTC-DFI20220120153508"
"Trade","0.000040145","BTC-DFI","0.00948726000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-20T15:35:08", "1BTC-DFI20220120153508"
"Mining","0.00000107000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2022-01-20T00:01:00", "BTC20220120000100_Commission"
"Mining","2.28379356000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2022-01-20T00:01:00", "DFI20220120000100_Rewards"
"Mining","0.02721785000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2022-01-20T00:01:00", "DFI20220120000100_Commission"
"Trade","0.000049655","BTC-DFI","0.00000084000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-19T15:25:54", "1BTC-DFI20220119152554"
"Trade","0.000049655","BTC-DFI","0.01174721000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-19T15:25:54", "1BTC-DFI20220119152554"
"Mining","0.00000042000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2022-01-19T00:01:00", "BTC20220119000100_Commission"
"Mining","2.20184950000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2022-01-19T00:01:00", "DFI20220119000100_Rewards"
"Mining","0.01341338000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2022-01-19T00:01:00", "DFI20220119000100_Commission"
"Trade","0.000014095","BTC-DFI","0.00331391000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-18T15:27:44", "1BTC-DFI20220118152744"
"Trade","0.000014095","BTC-DFI","0.00000024000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-18T15:27:44", "1BTC-DFI20220118152744"
"Mining","0.00000086000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2022-01-18T00:01:00", "BTC20220118000100_Commission"
"Mining","2.22447381000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2022-01-18T00:01:00", "DFI20220118000100_Rewards"
"Mining","0.01594366000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2022-01-18T00:01:00", "DFI20220118000100_Commission"
"Trade","0.000086665","BTC-DFI","0.00000148000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-17T18:56:38", "1BTC-DFI20220117185638"
"Trade","0.000086665","BTC-DFI","0.02031183000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-17T18:56:38", "1BTC-DFI20220117185638"
"Mining","0.00000053000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2022-01-17T00:01:00", "BTC20220117000100_Commission"
"Mining","2.30132457000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2022-01-17T00:01:00", "DFI20220117000100_Rewards"
"Mining","0.02112476000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2022-01-17T00:01:00", "DFI20220117000100_Commission"
"Trade","0.00010885","BTC-DFI","0.00000185000000","BTC","","","DeFiChain Light Wallet","Add Liquidity","Trade 1 ","2022-01-16T02:14:33", "1BTC-DFI20220116021433"
"Trade","0.00010885","BTC-DFI","0.02563250000000","DFI","","","DeFiChain Light Wallet","Add Liquidity","Trade 2 ","2022-01-16T02:14:33", "1BTC-DFI20220116021433"
"Mining","0.00000045000000","BTC","","","","","DeFiChain Light Wallet","","Commission","2022-01-16T00:01:00", "BTC20220116000100_Commission"
"Mining","2.35499047000000","DFI","","","","","DeFiChain Light Wallet","","Rewards","2022-01-16T00:01:00", "DFI20220116000100_Rewards"
"Mining","0.01918273000000","DFI","","","","","DeFiChain Light Wallet","","Commission","2022-01-16T00:01:00", "DFI20220116000100_Commission"
