Type,"Buy Amount","Buy Cur.","Sell Amount","Sell Cur.","Fee Amount (optional)","Fee Cur. (optional)","Exchange (optional)","Trade Group (optional)","Comment (optional)",Date,Tx-ID
"Income (non taxable)",0.00019458,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-23T17:44:59,1BTC-DFI20220123174459
"Other Expense",,,0.00000163000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-23T17:44:59,1BTC-DFI20220123174459
"Other Expense",,,0.02324109000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-23T17:44:59,1BTC-DFI20220123174459
"Reward / Bonus",0.00000018000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-22T00:01:00,BTC20220122000100_Commission
"Reward / Bonus",1.70241495000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-22T00:01:00,DFI20220122000100_Rewards
"Reward / Bonus",0.00794247000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-22T00:01:00,DFI20220122000100_Commission
"Income (non taxable)",8.011E-5,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-21T15:39:19,1BTC-DFI20220121153919
"Other Expense",,,0.00944364000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-21T15:39:19,1BTC-DFI20220121153919
"Other Expense",,,0.00000068000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-21T15:39:19,1BTC-DFI20220121153919
"Reward / Bonus",0.00000098000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-21T00:01:00,BTC20220121000100_Commission
"Reward / Bonus",2.21678924000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-21T00:01:00,DFI20220121000100_Rewards
"Reward / Bonus",0.03587626000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-21T00:01:00,DFI20220121000100_Commission
"Income (non taxable)",8.029E-5,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-20T15:35:08,1BTC-DFI20220120153508
"Other Expense",,,0.00000068000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-20T15:35:08,1BTC-DFI20220120153508
"Other Expense",,,0.00948726000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-20T15:35:08,1BTC-DFI20220120153508
"Reward / Bonus",0.00000107000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-20T00:01:00,BTC20220120000100_Commission
"Reward / Bonus",2.28379356000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-20T00:01:00,DFI20220120000100_Rewards
"Reward / Bonus",0.02721785000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-20T00:01:00,DFI20220120000100_Commission
"Income (non taxable)",9.931E-5,BTC-DFI,,,,,"DeFiChain Light Wallet",,"Added liquidity",2022-01-19T15:25:54,1BTC-DFI20220119152554
"Other Expense",,,0.00000084000000,BTC,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-19T15:25:54,1BTC-DFI20220119152554
"Other Expense",,,0.01174721000000,DFI,,,"DeFiChain Light Wallet",,"Add liquidity BTC-DFI",2022-01-19T15:25:54,1BTC-DFI20220119152554
"Reward / Bonus",0.00000042000000,BTC,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-19T00:01:00,BTC20220119000100_Commission
"Reward / Bonus",2.20184950000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-19T00:01:00,DFI20220119000100_Rewards
"Reward / Bonus",0.01341338000000,DFI,,,,,"DeFiChain Light Wallet",,"Liquidity mining reward ETH-DFI",2022-01-19T00:01:00,DFI20220119000100_Commission
